// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0AAO026
SensorType=Q2B0
SensorType2=0101
SensorType3=60
Channel=2
Interval=30
SampleCnt=12389
StartTime=2019/11/27 08:30:00
EndTime=2019/12/01 15:44:00
StopTime=2019/12/01 15:44:09
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/07/06
Immersion_Effect=1.4
Ch1=+9.316367e+03,-1.436137e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2019/11/27 11:43:00,14.6,1.6,
2019/11/27 11:43:30,14.6,1.6,
2019/11/27 11:44:00,12.9,1.6,
2019/11/27 11:44:30,13.3,1.6,
2019/11/27 11:45:00,13.5,1.6,
2019/11/27 11:45:30,13.8,1.6,
2019/11/27 11:46:00,12.1,1.6,
2019/11/27 11:46:30,13.3,1.6,
2019/11/27 11:47:00,14.6,1.6,
2019/11/27 11:47:30,13.8,1.6,
2019/11/27 11:48:00,14.9,1.6,
2019/11/27 11:48:30,14.7,1.6,
2019/11/27 11:49:00,14.4,1.6,
2019/11/27 11:49:30,13.0,1.6,
2019/11/27 11:50:00,14.7,1.6,
2019/11/27 11:50:30,14.6,1.6,
2019/11/27 11:51:00,12.4,1.6,
2019/11/27 11:51:30,14.9,1.6,
2019/11/27 11:52:00,14.5,1.6,
2019/11/27 11:52:30,13.6,1.6,
2019/11/27 11:53:00,13.7,1.6,
2019/11/27 11:53:30,12.3,1.6,
2019/11/27 11:54:00,14.6,1.6,
2019/11/27 11:54:30,13.8,1.6,
2019/11/27 11:55:00,14.4,1.6,
2019/11/27 11:55:30,13.4,1.6,
2019/11/27 11:56:00,14.4,1.6,
2019/11/27 11:56:30,14.9,1.6,
2019/11/27 11:57:00,12.0,1.6,
2019/11/27 11:57:30,14.0,1.6,
2019/11/27 11:58:00,13.5,1.6,
2019/11/27 11:58:30,13.6,1.6,
2019/11/27 11:59:00,12.1,1.6,
2019/11/27 11:59:30,12.2,1.6,
2019/11/27 12:00:00,13.6,1.6,
2019/11/27 12:00:30,12.8,1.6,
2019/11/27 12:01:00,14.8,1.6,
2019/11/27 12:01:30,14.8,1.6,
2019/11/27 12:02:00,14.4,1.6,
2019/11/27 12:02:30,12.7,1.6,
2019/11/27 12:03:00,14.2,1.6,
2019/11/27 12:03:30,13.2,1.6,
2019/11/27 12:04:00,12.4,1.6,
2019/11/27 12:04:30,13.9,1.6,
2019/11/27 12:05:00,12.9,1.6,
2019/11/27 12:05:30,14.0,1.6,
2019/11/27 12:06:00,12.0,1.6,
2019/11/27 12:06:30,14.1,1.6,
2019/11/27 12:07:00,13.4,1.6,
2019/11/27 12:07:30,12.0,1.6,
2019/11/27 12:08:00,13.1,1.6,
2019/11/27 12:08:30,14.3,1.6,
2019/11/27 12:09:00,12.1,1.6,
2019/11/27 12:09:30,13.3,1.6,
2019/11/27 12:10:00,14.8,1.6,
2019/11/27 12:10:30,14.8,1.6,
2019/11/27 12:11:00,12.3,1.6,
2019/11/27 12:11:30,12.4,1.6,
2019/11/27 12:12:00,14.1,1.6,
2019/11/27 12:12:30,13.6,1.6,
2019/11/27 12:13:00,13.6,1.6,
2019/11/27 12:13:30,14.9,1.6,
2019/11/27 12:14:00,13.2,1.6,
2019/11/27 12:14:30,14.0,1.6,
2019/11/27 12:15:00,12.3,1.6,
2019/11/27 12:15:30,14.5,1.6,
2019/11/27 12:16:00,12.4,1.6,
2019/11/27 12:16:30,14.7,1.6,
2019/11/27 12:17:00,12.4,1.6,
2019/11/27 12:17:30,14.7,1.6,
2019/11/27 12:18:00,12.4,1.6,
2019/11/27 12:18:30,15.0,1.6,
2019/11/27 12:19:00,12.2,1.6,
2019/11/27 12:19:30,12.1,1.6,
2019/11/27 12:20:00,14.5,1.6,
2019/11/27 12:20:30,13.3,1.6,
2019/11/27 12:21:00,14.7,1.6,
2019/11/27 12:21:30,12.8,1.6,
2019/11/27 12:22:00,12.3,1.6,
2019/11/27 12:22:30,12.4,1.6,
2019/11/27 12:23:00,13.8,1.6,
2019/11/27 12:23:30,11.9,1.6,
2019/11/27 12:24:00,13.7,1.6,
2019/11/27 12:24:30,14.2,1.6,
2019/11/27 12:25:00,14.4,1.6,
2019/11/27 12:25:30,14.2,1.6,
2019/11/27 12:26:00,12.3,1.6,
2019/11/27 12:26:30,14.1,1.6,
2019/11/27 12:27:00,14.3,1.6,
2019/11/27 12:27:30,14.3,1.6,
2019/11/27 12:28:00,14.9,1.6,
2019/11/27 12:28:30,15.0,1.6,
2019/11/27 12:29:00,12.0,1.6,
2019/11/27 12:29:30,14.4,1.6,
2019/11/27 12:30:00,14.5,1.6,
2019/11/27 12:30:30,12.9,1.6,
2019/11/27 12:31:00,15.0,1.6,
2019/11/27 12:31:30,14.7,1.6,
2019/11/27 12:32:00,12.3,1.6,
2019/11/27 12:32:30,13.6,1.6,
2019/11/27 12:33:00,12.1,1.6,
2019/11/27 12:33:30,12.3,1.6,
2019/11/27 12:34:00,12.7,1.6,
2019/11/27 12:34:30,12.1,1.6,
2019/11/27 12:35:00,14.7,1.6,
2019/11/27 12:35:30,14.6,1.6,
2019/11/27 12:36:00,11.9,1.6,
2019/11/27 12:36:30,14.3,1.6,
2019/11/27 12:37:00,14.5,1.6,
2019/11/27 12:37:30,14.3,1.6,
2019/11/27 12:38:00,14.1,1.6,
2019/11/27 12:38:30,14.8,1.6,
2019/11/27 12:39:00,14.3,1.6,
2019/11/27 12:39:30,14.5,1.6,
2019/11/27 12:40:00,13.7,1.6,
2019/11/27 12:40:30,14.6,1.6,
2019/11/27 12:41:00,12.4,1.6,
2019/11/27 12:41:30,13.0,1.6,
2019/11/27 12:42:00,12.6,1.6,
2019/11/27 12:42:30,14.5,1.6,
2019/11/27 12:43:00,14.5,1.6,
2019/11/27 12:43:30,14.4,1.6,
2019/11/27 12:44:00,12.8,1.6,
2019/11/27 12:44:30,12.3,1.6,
2019/11/27 12:45:00,14.6,1.6,
2019/11/27 12:45:30,13.7,1.6,
2019/11/27 12:46:00,12.4,1.6,
2019/11/27 12:46:30,14.1,1.6,
2019/11/27 12:47:00,12.3,1.6,
2019/11/27 12:47:30,13.5,1.6,
